术语ID,术语名称(中文),术语名称(英文),术语别名,术语定义,确认状态,术语来源,使用情况,创建人,最后编辑人,最后编辑时间
rqtgW9,被保险人,insured_name,,被保险人是保险合同保障的对象，享有保险金请求权。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rggBJe,编辑,edit,,修改、整理或删减内容，使其符合特定要求或标准。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rUGs54,采集价格,collect_price,采价,商品从供应商处购入的原始成本价，亦称采价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rKRk9g,采集人,collector,,采集人指在实地调查中负责收集标本、数据或信息的研究人员。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rR2oD4,采集时间,collect_time,,采集时间指数据被系统记录或获取的具体时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rZBr4K,采价记录编号,collect_price_record_no,,采价记录的唯一标识编码，用于追踪和管理价格采集数据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbBr7h,采价模式,collect_price_mode,,采价模式指系统自动采集商品价格的规则与方式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rnvpHe,采价状态,collect_price_status,,采价状态指商品价格采集的实时情况，如成功、失败或待处理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJW8Tw,参考价格,reference_price,,参考价格是消费者在评估商品价值时，用作比较基准的心理预期价格。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rMaQRf,仓库编号,warehouse_no,,仓库的唯一标识代码，用于区分不同存储地点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rydRDg,仓库名称,warehouse_name,,仓库名称是用于标识和区分不同代码仓库的唯一标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rsbieu,仓库数量,warehouse_count,仓库数,仓库数量指企业用于存储和配送商品的物理仓库总数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raLF7d,操作,operation,,操作指在特定条件下，为达成目标而执行的具体行动或步骤。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rdVgi1,操作记录,operation_log,,操作记录是系统自动记录的、对数据或配置进行增删改查等操作的详细流水账。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r0XsJK,操作人,action_by,,操作人指执行特定操作的用户或系统实体。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruIzmV,查看,view,,数据库中的虚拟表，由查询定义，不存储数据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rg8JS1,查询,query,,查询是用户向搜索引擎提出的信息请求。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rEepvZ,产品,product,,企业为满足市场需求而设计、生产并销售的有形物品或无形服务。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rF2rTW,产品代码,product_code,,产品代码是用于唯一标识和分类产品的字母数字组合。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtpDPp,产品类型,product_type,,产品类型指按功能或用途划分的商品类别，如“电子产品”“服装”等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rWkV2H,产品名称,product_name,品名,产品名称即商品正式称谓，也称品名。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtr3rA,产品状态,product_status,,产品状态指产品在生命周期中的当前阶段，如开发、上架、停售等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rj3Ygm,车牌号,plate_no,,车辆登记标识，用于交通管理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJpWuW,承运商,carrier,,承运商是提供货物或旅客运输服务的公司，如船运、航空或物流企业。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGljC9,出具日期,issue_date,,指文件或证书正式生效的签发日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rc7isr,出库仓库,outbound_warehouse,,指货物发出、进行分拣打包等最终处理操作的物流仓库。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rsZPQW,出库单号,outbound_no,,出库单号是标识货物出库流程的唯一编码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rzty3d,出库件数,outbound_piece_count,,出库件数指仓库在指定时间内实际发出的货物总件数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r468jS,出库数量,outbound_quantity,,出库数量指从仓库发出或销售的商品数量。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rIaKoI,处理状态,process_status,,处理状态指进程在操作系统中的运行阶段，如就绪、执行、阻塞等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rXHdfo,触发条件,trigger_condition,,触发条件是启动特定操作或流程必须满足的预设规则或事件。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rxgTOS,创建类型,create_type,,创建类型是数据库或编程中定义新数据结构的操作，用于规范数据格式和约束。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLfdhx,创建人,creator,,指创作、设计或建立某事物的人或实体。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r4fuqa,创建日期,create_date,,数据首次生成或记录的时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r0kfKZ,创建时间,create_time,,数据记录最初生成的时间戳。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r5iMYk,库存编号,inventory_no,存货编号,库存编号是唯一标识企业存货的代码，用于管理与追踪。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rMIGbM,库存价值,inventory_value,存货价值|在库货值,库存价值指企业仓库中所有存货按成本或市价计算的总价值。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rsYHhw,库存数量,inventory_quantity,在库数量|存货数量,库存中实际存在的商品或物料数量，用于衡量当前存货水平。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rt1oYz,库存状态,inventory_status,存货状态,库存状态指存货的可用性，如“在库”、“在途”、“缺货”等。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rMjtR8,待还利息日期,interest_repay_date,,待还利息日期指借款人需支付利息的具体截止日。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rV43hh,贷款合同号,loan_contract_no,借款合同号,贷款合同号是标识借贷双方借款合同的唯一编号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhppIN,贷款金额,loan_amount,借款金额,贷款金额指借款人向金融机构申请的借款总额，即实际借入的本金数额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rUg0KX,贷款期限,loan_term,,贷款期限指借款人需还清全部贷款本金和利息的约定时间长度。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rNXlYW,贷款日期,loan_date,借款日期,贷款日期指借款人实际获得贷款资金的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
riSAEU,贷款有效期,loan_valid_period,,贷款有效期指银行批准贷款后，借款人必须在此期限内提取款项，过期批准可能失效。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rjWyp3,贷款余额,loan_balance,客户在贷余额,贷款余额指借款人尚未偿还的贷款本金总额，即剩余待还金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月25日
rkaKTX,贷款状态,loan_status,借款状态,贷款状态指借款的当前履约情况，如正常、逾期、违约等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgpim6,单价,unit_price,,单位商品或服务的价格。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYZZ1f,当前价格,current_price,,当前价格指资产在市场上即时成交的最新报价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r0g8MA,当前渠道,current_channel,,当前渠道指用户与AI交互时正在使用的特定平台或界面。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6FfLI,导出,export,,将模块中的变量、函数等对外公开，供其他模块使用。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rEup6D,导出明细,export_details,,导出明细指将数据系统中的详细记录以文件形式输出，供外部使用或存档。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rwiPTx,导入SKU,import_sku,,将外部商品数据录入电商系统的标准化商品单元。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r83btO,导入采价,import_collect_price,,进口商品价格采集，用于海关征税等用途。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
riCgjN,到货时间,arriva_time,,到货时间指货物实际抵达指定地点的具体时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rm6RpI,到期日期,expire_date,,到期日期是合同、证件或产品有效截止的特定时间点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rW50M1,地区,region,区域,地区指地球表面依据自然或人文特征划分的地理单元。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r4FzX4,订单编号,order_no,订单号,订单的唯一识别代码，用于追踪和管理交易。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月25日
rfMHIa,订单金额,order_amount,订单金额(元）,订单金额指客户购买商品或服务的总费用，含税及运费。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月25日
rxpdwn,订单类型,order_type,,订单类型指交易指令的种类，如市价单、限价单等，用于规定订单的执行方式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r7IQlZ,订单名称,order_name,,订单名称是用户为订单设定的自定义标识，便于识别和管理。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruYBJ6,订单日期,order_date,,订单日期指客户下单的具体时间，用于记录和追踪交易。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6JjJd,订单授信配置,order_credit_conf,,订单授信配置指为订单设置信用额度、期限等风控参数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rk0jUh,订单数量,order_count,,订单数量指用户提交的购买请求总数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rcPFVr,订单状态,order_status,,订单状态指订单在交易流程中的当前阶段，如待付款、已发货等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
reXWd8,冻结金额,frozen_amount,,冻结金额指因交易、风控等原因被临时锁定，暂不可使用的资金。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rLhsMl,抖音二维码,tiktok_qr_code,,抖音二维码是抖音平台生成的个人或内容专属识别码，用于快速分享和关注。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rT7yat,抖音视频号,tiktok_video_account,,抖音视频号是用户在抖音平台上的个人或机构账号，用于发布、管理短视频内容。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r43aRD,对接方式,connection_method,,对接方式指系统间数据交换的接口类型与协议，如API、SDK或文件传输。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCqtKS,对手方,counterparty,,对手方指金融交易中与己方相对的合约方，承担履约责任。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r05vsq,对手方户名,counterparty_account_name,,指交易中资金接收或支付方的银行账户户名。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rH7ZBw,对手方账号,counterparty_account,,对手方账号指金融交易中与己方直接进行资金或证券往来的对方账户。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rcrzaa,额度有效期,credit_valid_period,,指信用卡或贷款额度可使用的起止时间范围。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rANDg6,发布人,publisher,,发布人是信息传播的源头，负责内容的制作、审核与公开。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rF3LsR,发布时间,publish_time,,指内容（如文章、视频）正式对外公开的日期与时间。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raGDeX,发布市场,publish_market,,发布市场指企业将产品正式推向目标市场进行销售的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rsFs8m,发货地址,ship_addr,发货地,发货地址指商品寄出的具体地点，即发货地。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rF8qAe,发货方,shipper,,发货方是货物运输的托运人，负责将货物交付承运人运输。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rVCOiQ,发货时间,ship_time,,指商家完成订单处理，将商品交给物流的时间节点。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rGHHNy,发票代码,invoice_code,,发票代码是税务部门赋予每张发票的唯一标识编码，用于区分发票种类和来源。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rX7uWG,发票号码,invoice_no,,发票的唯一标识码，用于追踪和管理交易凭证。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rumEQf,发票金额,invoice_amount,票面金额,发票金额指交易票面记载的应支付总金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtuwgD,发票类型,invoice_type,,发票类型指发票按用途、形式等划分的种类，如增值税专用发票、普通发票等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruxUS4,发票数量,invoice_count,发票张数,发票数量指单次交易或统计周期内开具的发票总张数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rr5I10,发起方,initiator,,在通信或交易中，主动发起请求或连接的一方。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRjOQN,发起方户名,initiator_account_name,,发起方户名指银行交易中主动发起支付指令的账户名称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rYD196,发起方账号,initiator_account,,发起方账号是交易或操作中主动发起请求的账户。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
raauuO,发起时间,initiate_time,,发起时间是任务或进程被创建或启动的初始时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rCLpVj,发起准入时间,admission_start_time,,指用户申请加入特定社群或组织的起始时刻。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHxOct,法定代表人,legal_rep,,法定代表人，指依法代表法人行使民事权利、履行民事义务的主要负责人。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rl9kM5,返回,return,,程序执行中，将结果或控制权交还给调用者的操作。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rMKBr3,放/还款金额,loan_repay_amount,放/还金额,指贷款发放或借款人偿还的本金金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtp46K,放/还款日期,loan_repay_date,,指借款合同中规定的借款人应偿还贷款本息的特定日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rV3Dgf,放款计划编号,disbursement_plan_no,,放款计划编号是银行对每笔贷款发放计划的唯一标识编码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rxpFQU,放款金额,disbursement_amount,放款(元）,指贷款实际支付给借款人的资金数额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月25日
rhdIf9,放款流水号,disbursement_sn,,放款流水号是银行或金融机构为每笔放款交易生成的唯一识别编码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rIXCXF,放款日期,disbursement_date,,指贷款资金实际支付给借款人的日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rl7wPf,放款状态,disbursement_status,,指贷款资金是否已发放至借款人账户的状态，通常包括“待发放”、“已发放”等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgMfGe,分配,distribute,,将整体按规则分给多个部分或个体。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rRcAeB,分配状态,distribute_status,,分配状态指在多智能体系统中，各智能体对环境信息的局部感知与持有情况。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rUJT4v,分支机构,branch_org,,企业或机构在总部外设立的附属办公或业务单位。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ro3CpW,风险等级,risk_level,,风险等级指对风险严重程度的量化或定性评级，用于评估和决策。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rxZLsB,付款状态,pay_status,,付款状态指订单款项的支付情况，如未付、已付、退款中等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rdtBl9,负责人,resp_person,,负责具体执行任务、确保工作完成的直接责任人。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rtAGY5,更多,additional,,在原有基础上增加的数量或内容。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rJBea3,更新频率,update_frequency,,更新频率指数据或内容被刷新、修改的周期或频次。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rxBNSs,更新时间,update_time,,数据记录的最后修改时间戳。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHraTL,工作台类型,workbench_type,,工作台类型指在特定工作流程或系统中，为用户设计的标准化操作界面或功能模块分类。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rrEuMs,工作台名称,workbench_name,,工作台名称指软件中特定功能模块或操作区域的标识。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rc0bSL,公告编号,bulletin_no,,公告编号是用于唯一标识和检索特定公告的代码或序列号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbk3jP,公告标题,bulletin_title,,公告标题是公告内容的简要概括，用于醒目提示核心信息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rqv5bI,公告类型,bulletin_type,,公告类型指公告按内容或用途划分的类别，如通知、公示、通告等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rz8n96,公告状态,bulletin_status,,公告状态指公告的发布状态，如草稿、已发布、已撤回等，用于管理公告生命周期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rvjVWm,供应方,supplier,供应商,提供产品或服务以满足需求的一方。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rH1tQE,购买方,buyer,买方|采购方,采购方即购买商品或服务的组织或个人，也称买方。,待确认,积木报表,,兰恩来,兰恩来,2026年3月24日
rJm1IH,购买方名称,buyer_name,,购买方名称指购买商品或服务的客户或单位的法定名称。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbSoYy,购买方税号,buyer_tax_no,,购买方税号是购买方在税务系统中的唯一纳税人识别编号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rlOT6g,挂单编号,list_order_no,,挂单编号是交易系统中为每笔委托订单分配的唯一识别码。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rvM8e5,挂单价格,list_order_price,,挂单价格是投资者在交易系统中预先设定的买入或卖出委托报价。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rHeXSI,挂单金额,list_order_amount,,挂单金额指投资者在交易系统中已申报但尚未成交的订单总金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
roqMq6,挂单数量,list_order_count,,挂单数量指交易者当前在市场中未成交的挂单总数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r74Vdf,挂单状态,list_order_status,,挂单状态指交易委托单在系统中的当前处理阶段，如已报、成交、撤单等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rKdOpT,挂单总额,total_list_order_amount,,挂单总额指用户已提交但尚未成交的所有订单的总金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhxCtr,挂单总价,total_list_order_price,挂单(总价),挂单总价指交易中所有未成交订单的总金额。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rb8ZDW,关闭,close,,关闭指结束文件、连接或程序等资源，释放占用的系统资源。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r6SjcY,关键词,keyword,,关键词是用户搜索时使用的核心词语，是连接信息与需求的桥梁。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rUfNXq,关键字搜索,keyword_search,,通过输入词语在数据库中查找匹配内容的信息检索方式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rP2IbE,关联订单号,relate_order_no,,关联订单号是用于标识和链接多个相关订单的唯一编号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rd2bgP,关联机构,relate_org,,指与特定主体存在关联关系的其他组织或机构。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rViZeQ,关联客户,relate_customer,,关联客户指与企业有业务联系或潜在关系的个人或组织。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rp90Eu,关联商品,relate_product,,关联商品指电商中常被一同购买或浏览的商品组合，用于交叉销售。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rb5fgd,关联审批单号,relate_approve_no,,关联审批单号是与其他审批流程相关联的唯一标识符。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rBsAz9,关联市场,relate_market,,关联市场指不同商品或服务间因替代或互补关系而形成的价格联动市场。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ryTu6f,管理,manage,,协调资源、组织活动，以实现既定目标的过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rqBOLY,管理名单,manage_list,,管理名单指对名单进行增删改查等操作的数据处理过程。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rboi1V,规格,spec,,规格是产品、服务或项目的详细技术要求和性能标准。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rgV2H2,规格属性,spec_attribute,,规格属性指产品规格的具体参数，如尺寸、颜色、材质等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rko3Dt,还款本金,repay_principal_amount,还款本金(元）,还款本金指借款人偿还贷款时，归还原始借款金额的部分，不含利息。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月25日
rJPJuA,还款编号,repay_no,,还款编号是贷款或分期付款中，用于唯一标识每一笔还款记录的序号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rvDebs,还款次数,repay_count,还款笔数,还款次数指借款人实际偿还贷款的次数，即还款笔数。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rq0IeR,还款方式,repay_method,,还款方式指借款人偿还贷款本金和利息的具体安排形式。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rt76Jt,还款金额,repay_amount,,还款金额指借款人需偿还贷款的本金与利息总和。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
r1dcbi,还款类型,repay_type,,还款类型指贷款偿还方式，如等额本息、等额本金、一次性还本付息等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rbew58,还款利息,repay_interest_amount,,还款利息是借款人因使用贷款而需额外支付给贷款方的资金成本。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rD9WeN,还款流水号,repay_sn,,还款流水号是用于唯一标识每笔还款记录的编号。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rghTwe,还款日期,repay_date,,借款合同中约定的借款人必须偿还全部本息的最后日期。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhv7bP,还款状态,repay_status,,还款状态指贷款或分期付款的当前偿还情况，如正常、逾期、结清等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rQiq4f,总还款金额,total_repay_amount,,还款总额指借款人需偿还的全部本金与利息之和。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rhFRUX,合同编号,contract_no,,合同编号是用于唯一标识和检索特定合同的代码或字符串。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
ruWwpk,合同金额,contract_amount,,合同金额指合同中约定的交易总价，是双方权利义务的核心财务依据。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
rcIHPg,合同类型,contract_type,,合同类型指按法律特征划分的合同种类，如买卖、租赁等。,待确认,业务系统(云平台),,兰恩来,兰恩来,2026年3月24日
